ORCA_URN	AnalyzedText	ExemplarUrn	Analysis	TextDeformation	Sequence
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2351	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.1@ὑπὸ[2]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.1.51	urn:cite2:fufolio:tokenTypes.v1:word	ὑπὸ	2351
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2352	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.1@τῶν[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.1.52	urn:cite2:fufolio:tokenTypes.v1:word	τῶν	2352
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2353	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.1@τότε[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.1.53	urn:cite2:fufolio:tokenTypes.v1:word	τότε	2353
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2354	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.1@πολιτευμάτων[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.1.54	urn:cite2:fufolio:tokenTypes.v1:word	πολιτευμάτων	2354
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2355	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.1@ἀντὶ[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.1.55	urn:cite2:fufolio:tokenTypes.v1:word	ἀντὶ	2355
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2356	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.1@σώφρονος[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.1.56	urn:cite2:fufolio:tokenTypes.v1:word	σώφρονος	2356
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2357	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.1@καὶ[5]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.1.57	urn:cite2:fufolio:tokenTypes.v1:word	καὶ	2357
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2358	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.1@αὐτουργοῦ[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.1.58	urn:cite2:fufolio:tokenTypes.v1:word	αὐτουργοῦ	2358
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2359	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.1@,[5]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.1.59	urn:cite2:fufolio:tokenTypes.v1:punc	,	2359
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2360	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.1@θεωρείσθω[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.1.60	urn:cite2:fufolio:tokenTypes.v1:word	θεωρείσθω	2360
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2361	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.1@διὰ[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.1.61	urn:cite2:fufolio:tokenTypes.v1:word	διὰ	2361
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2362	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.1@τῶν[2]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.1.62	urn:cite2:fufolio:tokenTypes.v1:word	τῶν	2362
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2363	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.1@πραγμάτων[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.1.63	urn:cite2:fufolio:tokenTypes.v1:word	πραγμάτων	2363
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2364	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.1@αὐτῶν[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.1.64	urn:cite2:fufolio:tokenTypes.v1:word	αὐτῶν	2364
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2365	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.1@ἡ[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.1.65	urn:cite2:fufolio:tokenTypes.v1:word	ἡ	2365
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2366	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.1@αἰτία[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.1.66	urn:cite2:fufolio:tokenTypes.v1:word	αἰτία	2366
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2367	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.1@τῆς[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.1.67	urn:cite2:fufolio:tokenTypes.v1:word	τῆς	2367
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2368	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.1@μεταβολῆς[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.1.68	urn:cite2:fufolio:tokenTypes.v1:word	μεταβολῆς	2368
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2369	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.1@.[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.1.69	urn:cite2:fufolio:tokenTypes.v1:punc	.	2369
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2370	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@ἐν[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.1	urn:cite2:fufolio:tokenTypes.v1:word	ἐν	2370
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2371	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@ἀρχῇ[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.2	urn:cite2:fufolio:tokenTypes.v1:word	ἀρχῇ	2371
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2372	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@μὲν[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.3	urn:cite2:fufolio:tokenTypes.v1:word	μὲν	2372
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2373	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@γὰρ[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.4	urn:cite2:fufolio:tokenTypes.v1:word	γὰρ	2373
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2374	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@ὥσπερ[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.5	urn:cite2:fufolio:tokenTypes.v1:word	ὥσπερ	2374
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2375	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@εἴρηται[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.6	urn:cite2:fufolio:tokenTypes.v1:word	εἴρηται	2375
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2376	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@πρὸς[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.7	urn:cite2:fufolio:tokenTypes.v1:word	πρὸς	2376
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2377	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@τὴν[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.8	urn:cite2:fufolio:tokenTypes.v1:word	τὴν	2377
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2378	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@Κίμωνος[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.9	urn:cite2:fufolio:tokenTypes.v1:word	Κίμωνος	2378
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2379	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@δόξαν[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.10	urn:cite2:fufolio:tokenTypes.v1:word	δόξαν	2379
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2380	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@ἀντιταττόμενος[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.11	urn:cite2:fufolio:tokenTypes.v1:word	ἀντιταττόμενος	2380
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2381	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@ὑπεποιεῖτο[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.12	urn:cite2:fufolio:tokenTypes.v1:word	ὑπεποιεῖτο	2381
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2382	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@τὸν[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.13	urn:cite2:fufolio:tokenTypes.v1:word	τὸν	2382
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2383	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@δῆμον[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.14	urn:cite2:fufolio:tokenTypes.v1:word	δῆμον	2383
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2384	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@,[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.15	urn:cite2:fufolio:tokenTypes.v1:punc	,	2384
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2385	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@ἐλαττούμενος[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.16	urn:cite2:fufolio:tokenTypes.v1:word	ἐλαττούμενος	2385
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2386	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@δὲ[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.17	urn:cite2:fufolio:tokenTypes.v1:word	δὲ	2386
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2387	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@πλούτῳ[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.18	urn:cite2:fufolio:tokenTypes.v1:word	πλούτῳ	2387
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2388	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@καὶ[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.19	urn:cite2:fufolio:tokenTypes.v1:word	καὶ	2388
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2389	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@χρήμασιν[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.20	urn:cite2:fufolio:tokenTypes.v1:word	χρήμασιν	2389
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2390	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@,[2]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.21	urn:cite2:fufolio:tokenTypes.v1:punc	,	2390
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2391	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@ἀφ'[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.22	urn:cite2:fufolio:tokenTypes.v1:word	ἀφ'	2391
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2392	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@ὧν[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.23	urn:cite2:fufolio:tokenTypes.v1:word	ὧν	2392
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2393	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@ἐκεῖνος[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.24	urn:cite2:fufolio:tokenTypes.v1:word	ἐκεῖνος	2393
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2394	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@ἀνελάμβανε[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.25	urn:cite2:fufolio:tokenTypes.v1:word	ἀνελάμβανε	2394
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2395	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@τοὺς[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.26	urn:cite2:fufolio:tokenTypes.v1:word	τοὺς	2395
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2396	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@πένητας[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.27	urn:cite2:fufolio:tokenTypes.v1:word	πένητας	2396
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2397	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@,[3]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.28	urn:cite2:fufolio:tokenTypes.v1:punc	,	2397
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2398	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@δεῖπνόν[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.29	urn:cite2:fufolio:tokenTypes.v1:word	δεῖπνόν	2398
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2399	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@τε[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.30	urn:cite2:fufolio:tokenTypes.v1:word	τε	2399
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2400	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@καθ'[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.31	urn:cite2:fufolio:tokenTypes.v1:word	καθ'	2400
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2401	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@ἡμέραν[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.32	urn:cite2:fufolio:tokenTypes.v1:word	ἡμέραν	2401
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2402	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@τῷ[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.33	urn:cite2:fufolio:tokenTypes.v1:word	τῷ	2402
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2403	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@δεομένῳ[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.34	urn:cite2:fufolio:tokenTypes.v1:word	δεομένῳ	2403
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2404	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@παρέχων[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.35	urn:cite2:fufolio:tokenTypes.v1:word	παρέχων	2404
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2405	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@Ἀθηναίων[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.36	urn:cite2:fufolio:tokenTypes.v1:word	Ἀθηναίων	2405
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2406	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@καὶ[2]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.37	urn:cite2:fufolio:tokenTypes.v1:word	καὶ	2406
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2407	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@τοὺς[2]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.38	urn:cite2:fufolio:tokenTypes.v1:word	τοὺς	2407
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2408	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@πρεσβυτέρους[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.39	urn:cite2:fufolio:tokenTypes.v1:word	πρεσβυτέρους	2408
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2409	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@ἀμφιεννύων[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.40	urn:cite2:fufolio:tokenTypes.v1:word	ἀμφιεννύων	2409
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2410	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@,[4]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.41	urn:cite2:fufolio:tokenTypes.v1:punc	,	2410
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2411	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@τῶν[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.42	urn:cite2:fufolio:tokenTypes.v1:word	τῶν	2411
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2412	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@τε[2]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.43	urn:cite2:fufolio:tokenTypes.v1:word	τε	2412
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2413	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@χωρίων[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.44	urn:cite2:fufolio:tokenTypes.v1:word	χωρίων	2413
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2414	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@τοὺς[3]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.45	urn:cite2:fufolio:tokenTypes.v1:word	τοὺς	2414
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2415	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@φραγμοὺς[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.46	urn:cite2:fufolio:tokenTypes.v1:word	φραγμοὺς	2415
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2416	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@ἀφαιρῶν[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.47	urn:cite2:fufolio:tokenTypes.v1:word	ἀφαιρῶν	2416
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2417	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@ὅπως[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.48	urn:cite2:fufolio:tokenTypes.v1:word	ὅπως	2417
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2418	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@ὀπωρίζωσιν[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.49	urn:cite2:fufolio:tokenTypes.v1:word	ὀπωρίζωσιν	2418
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2419	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@οἱ[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.50	urn:cite2:fufolio:tokenTypes.v1:word	οἱ	2419
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2420	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@βουλόμενοι[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.51	urn:cite2:fufolio:tokenTypes.v1:word	βουλόμενοι	2420
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2421	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@,[5]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.52	urn:cite2:fufolio:tokenTypes.v1:punc	,	2421
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2422	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@τούτοις[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.53	urn:cite2:fufolio:tokenTypes.v1:word	τούτοις	2422
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2423	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@ὁ[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.54	urn:cite2:fufolio:tokenTypes.v1:word	ὁ	2423
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2424	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@Περικλῆς[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.55	urn:cite2:fufolio:tokenTypes.v1:word	Περικλῆς	2424
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2425	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@καταδημαγωγούμενος[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.56	urn:cite2:fufolio:tokenTypes.v1:word	καταδημαγωγούμενος	2425
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2426	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@τρέπεται[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.57	urn:cite2:fufolio:tokenTypes.v1:word	τρέπεται	2426
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2427	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@πρὸς[2]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.58	urn:cite2:fufolio:tokenTypes.v1:word	πρὸς	2427
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2428	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@τὴν[2]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.59	urn:cite2:fufolio:tokenTypes.v1:word	τὴν	2428
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2429	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@τῶν[2]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.60	urn:cite2:fufolio:tokenTypes.v1:word	τῶν	2429
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2430	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@δημοσίων[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.61	urn:cite2:fufolio:tokenTypes.v1:word	δημοσίων	2430
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2431	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@διανομήν[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.62	urn:cite2:fufolio:tokenTypes.v1:word	διανομήν	2431
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2432	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@,[6]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.63	urn:cite2:fufolio:tokenTypes.v1:punc	,	2432
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2433	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@συμβουλεύσαντος[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.64	urn:cite2:fufolio:tokenTypes.v1:word	συμβουλεύσαντος	2433
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2434	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@αὐτῷ[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.65	urn:cite2:fufolio:tokenTypes.v1:word	αὐτῷ	2434
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2435	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@Δάμωνος[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.66	urn:cite2:fufolio:tokenTypes.v1:word	<Δάμωνος>	2435
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2436	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@τοῦ[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.67	urn:cite2:fufolio:tokenTypes.v1:word	<τοῦ>	2436
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2437	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@Δαμωνίδου[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.68	urn:cite2:fufolio:tokenTypes.v1:word	Δαμωνίδου	2437
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2438	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@τοῦ[2]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.69	urn:cite2:fufolio:tokenTypes.v1:word	τοῦ	2438
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2439	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@Οἴηθεν[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.70	urn:cite2:fufolio:tokenTypes.v1:word	Οἴηθεν	2439
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2440	urn:cts:greekLit:tlg0007.tlg012.ziegler:9.2@,[7]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:9.2.71	urn:cite2:fufolio:tokenTypes.v1:punc	,	2440
